# province id = rotation in degrees, 0 is pointing right, then ccw)
# can be reloaded ingame by cmd: reloadtradewinds


### RIVERS ###
##Volga
14753 = -50
##Don
14751 = -160
##Dnipro
14750 = -150
##Danube
14727 = 30
##Rhein
13072 = 165
##St. Lawrence
13436 = 40
13437 = 40
##Hudson
14710 = -80
##Delaware
14711 = -40
##Mississippi
13438 = -35
13439 = -90
13440 = -90
13441 = -90
13442 = -90
13443 = -150
13444 = -90
13445 = -90
13446 = -5
13447 = -35
13448 = -110
#Columbia
14728 = -190
##Orinoco
14744 = 40
##Amazon
13428 = 50
14742 = 40
14720 = 20
14741 = 10
14731 = 40
14732 = 10
14733 = -10
14734 = 10
14729 = -30
14730 = -20
##Uruguay
14735 = -90
14736 = -120
##Parana
14737 = -30
14738 = -100
14739 = -140
14740 = -110
##Zambezi
14749 = -40
##Ganges
14745 = -50
14746 = -90
14747 = -30
##Yangtze
14721 = -20
14722 = 30
#14725 = 40
14723 = -10

### WINDS & CURRENTS ###

##East Greenland
13067 = -110
13069 = -140
13070 = -160
13074 = -130
13078 = -150
13075 = -130
13464 = -160
13077 = -160
13257 = -160
#Iceland to Norway
13068 = 10
13066 = -20
#13064 = 30
#13063 = 60
##Norwegian
13043 = 50
13045 = 30
13042 = 30
13048 = 30
13047 = 20
13051 = 40
13061 = 30
13049 = 50
13062 = 60
##Mid North Atlantic
13044 = 30
13110 = 30
13102 = 30
13110 = 30
13101 = 40
13083 = 40
13046 = 10
13100 = 10
13463 = 120
13471 = 50
13456 = 30
13081 = 10
13104 = 30
13099 = 30
13096 = 30
13103 = 10
13097 = 40
13095 = 30
13088 = 10
13472 = 30
13449 = 30
13469 = 50
13105 = 50
13450 = 30
13098 = 50
13093 = 0
13094 = 50
13465 = 40
13086 = 30
13263 = 30
13466 = 30
13261 = 20
13457 = 0
13092 = 0
13089 = 30
##Labrador Current & Extension "Cold Wall"
13270 = -40
13269 = -30
13473 = 0
13262 = -20
13268 = -150
13278 = -160
13459 = -170
13476 = -170
13279 = -190
13287 = -180
##Gulf Stream
13264 = 40
13267 = 30
13266 = 50
13304 = 20
13307 = 50
13302 = 30
13280 = 20
13281 = 30
13301 = 50
13300 = 50










#Antarctic Circumpolar Current
14704 = 0
14702 = 0
14696 = 0
14689 = 0
14684 = 0
14683 = 0
14679 = 0
14676 = 0
14675 = 0
13569 = 0
13575 = 0
13579 = 0
13581 = 0
13583 = 0
13610 = 0
13619 = 0
13620 = 0
14712 = 0
13622 = 0
14002 = 0
14003 = 0
14005 = 0
14015 = 0
14037 = 0
14038 = 0
14050 = 0
14070 = 0
14071 = 0
14073 = 0




























