#BT Italy reoverhaul

owner = MLO
controller = MLO
add_core = MLO
culture = lombard
religion = catholic
capital = "Como"
base_tax = 4
base_production = 4
base_manpower = 3
trade_goods = ir_apiculture
is_city = yes
hre = yes

discovered_by = western
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern

add_permanent_province_modifier = {
	name = lakeshore
	duration = -1
}
#Province history completed by - 

add_permanent_province_modifier = {       name = climate_temperate    duration = -1 }
