From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
1268;1258;canal;1775;-1;-1;-1;-1;kiel_canal
1548;1515;canal;835;-1;-1;-1;-1;panama_canal
1328;1316;canal;363;-1;-1;-1;-1;suez_canal
11882;11884;canal;6929;-1;-1;-1;-1;palk_strait
7766;12;sea;1258;-1;-1;-1;-1;Skåne-Sjaelland
7768;14;sea;5494;-1;-1;-1;-1;Sjaelland-Fyn
14;4142;sea;5494;-1;-1;-1;-1;Fyn-Aarhus
14;4149;sea;5494;-1;-1;-1;-1;Fyn-Kolding
3134;14;sea;10813;-1;-1;-1;-1;Aabenraa-Fyn
14;1983;sea;5494;-1;-1;-1;-1;Fyn-Lolland
7767;1983;sea;5494;-1;-1;-1;-1;Sjaelland-Lolland
123;124;sea;1307;-1;-1;-1;-1;Calabria-Messina
151;10250;sea;1320;-1;-1;-1;-1;Thrace-Gezbe
911;945;sea;1662;-1;-1;-1;-1;Menominee-Michigan
1;1930;sea;1928;-1;-1;-1;-1;Stockholm-Åland
1930;27;sea;1926;-1;-1;-1;-1;Åland-Finland
10340;369;sea;1299;-1;-1;-1;-1;Caithness-Orkney
96;4383;sea;1269;-1;-1;-1;-1;Zeeland-Gravenhage
96;95;sea;1269;-1;-1;-1;-1;Zeeland-Breda
96;8021;sea;1269;-1;-1;-1;-1;Zeeland-ZeeuwsVlaanderen
7301;1818;sea;1376;-1;-1;-1;-1;Nagato-Kokora	
1018;6939;sea;11763;-1;-1;-1;-1;Izumo-Oki
2159;666;sea;1370;-1;-1;-1;-1;Jiangmen-Hainan
3231;7857;sea;1926;-1;-1;-1;-1;Haapsalu-Hiiumaa
35;3227;sea;1927;-1;-1;-1;-1;Ösel-Piltene
597;620;sea;1361;-1;-1;-1;-1;Johor-Siak
6549;597;sea;1361;-1;-1;-1;-1;Johor-Singapore
6549;2686;sea;1361;-1;-1;-1;-1;Bintan-Singapore
659;2677;sea;1361;-1;-1;-1;-1;Riau-Palembang
5048;982;sea;1491;-1;-1;-1;-1;Esgigeoag-Unamakik
5047;983;sea;1491;-1;-1;-1;-1;Segepenegatig-Epekwitk
1050;4658;sea;1379;-1;-1;-1;-1;Deren-Sakhalin
1215;9935;sea;1330;-1;-1;-1;-1;Tajura-Subeihi
10572;4141;sea;1268;-1;-1;-1;-1;Stade-Dithmarschen
7300;1021;sea;1391;-1;-1;-1;-1;Awa-Settsu
4131;4193;sea;1387;-1;-1;-1;-1;Oshima-Mutsu
1032;1034;sea;1441;-1;-1;-1;-1;Kurils-Kamchatka
7332;6959;sea;10887;-1;-1;-1;-1;Izu-Hachijo
6952;7366;sea;1441;-1;-1;-1;-1;Iturup-Chishimi
7365;7366;sea;10891;-1;-1;-1;-1;Nemuro-Chishimi
1199;1201;sea;1448;-1;-1;-1;-1;Bagamoyo-Zanzibar
7038;10002;sea;10725;-1;-1;-1;-1;Corsica-Sardinia
