
#File completely rewritten, updated, & reworked by Math August 2019.
#Draiocht then made some further alterations for 12.0 in September.
#Credit all around, at this point, about 10 different people have contributed something or other, and many quite a lot, including especially Math, Draiocht, and Arga.


######Americas######

#Caribbean
481 = "Bermudes"					#Bermuda. Notes
482 = "Îles Lucayes"				#Bahamas. Notes
483 = "Îles Turques-et-Caïques"		#Turks Islands. Notes
484 = "La Havane"					#Havana. Notes
485 = "Trinité"						#Moron. Notes
486 = "Sainte-Catherine"			#Guantamano. Notes
487 = "Jamaïque"					#Jamaica. Notes
488 = "Port-au-Prince"				#Les Cayes. Notes
489 = "Île de la Tortue"			#Tortuga. Notes
490 = "Higuey"						#Barahonas. Notes
491 = "Curaçao"						#Curacao. Notes
492 = "Saint Jean-Baptiste"			#Puerto Rico. Notes
493 = "Saint-Thomas"				#St. Thomas. Notes
494 = "Saint-Christophe"			#St. Kitts. Notes
495 = "Antigue-et-Barbude"			#Antigua. Notes
496 = "Guadeloupe"					#Guadeloupe. Notes
497 = "Dominique"					#Dominica. Notes
498 = "Martinique"					#Martinique. Notes
499 = "Sainte-Lucie"				#St. Lucia. Notes
500 = "Saint-Vincent"				#St. Vincent. Notes
501 = "Barbade"						#Barbados. Notes
502 = "Île de la Trinité"			#Trinidad. Notes
1881 = "Anguille"					#St. Martin. Notes
2656 = "Camaguey"						#Camaguey. Notes
2658 = "Azua"							#Maguana. Notes
2659 = "Saint-Jacques"					#Magua. Notes
4618 = "Gonaïves"						#Gonaibo. Notes
4619 = "Port-de-Paix"					#Marien. Notes
4620 = "La Vègue"						#Ciguyao. Notes
4621 = "Saint-Domingue"					#Hosama. Notes
4622 = "Île des Pins"					#Siwanea. Notes
4623 = "Sainte-Claire"					#Escambrey. Notes
4624 = "Pins de la Rivière"				#Guanahatabey. Notes
5563 = "Jacmel"							#Yaquimel. Notes
5565 = "Barahona"						#Baoruco. Notes	
5567 = "Maguâna"						#Maguana2. Notes
5572 = "Holguin"						#Bani. Notes
5574 = "Eleuthera"						#Guanahani. Notes
5575 = "Ferdinande"						#Yuma. Notes
5576 = "Îles Crochues"					#Mayaguana. Notes
5577 = "Inague"							#Babeke. Notes
5578 = "Aruba"							#Ora Oubao. Notes
5579 = "Île Marguerite"					#Waikeri. Notes
5581 = "Tabago"							#Tabako. Notes
5582 = "Grenade"						#Beguia. Notes
5583 = "Montserrat"						#Alliouagana. Notes
5584 = "Sainte-Croix"					#Ay Ay. Notes
5585 = "Saint-Barthélemy"				#Ouanalao. Notes
5586 = "Saint-Martin"					#Aloi. Notes																										

