From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
7766;12;sea;1258;-1;-1;-1;-1;Skåne-Sjaelland
7768;14;sea;5494;-1;-1;-1;-1;Sjaelland-Fyn
14;4142;sea;5494;-1;-1;-1;-1;Fyn-Aarhus
14;4149;sea;5494;-1;-1;-1;-1;Fyn-Kolding
3134;14;sea;5494;-1;-1;-1;-1;Aabenraa-Fyn
14;1983;sea;5494;-1;-1;-1;-1;Fyn-Lolland
7767;1983;sea;5494;-1;-1;-1;-1;Sjaelland-Lolland
123;124;sea;1307;-1;-1;-1;-1;Calabria-Messina
151;316;sea;1320;-1;-1;-1;-1;Thrace-Bithynia
911;945;sea;1662;-1;-1;-1;-1;Menominee-Michigan
1;1930;sea;1928;-1;-1;-1;-1;Stockholm-Åland
1930;27;sea;1928;-1;-1;-1;-1;Åland-Finland
4110;369;sea;1299;-1;-1;-1;-1;Sutherland-Orkney
97;100;sea;1269;1279;2718;1894;2721;1897;Holland-Friesland
96;8112;sea;1269;-1;-1;-1;-1;Zeeland-Rotterdam
96;95;sea;1269;-1;-1;-1;-1;Zeeland-Breda
96;8021;sea;1269;-1;-1;-1;-1;Zeeland-Hulst
1017;1818;sea;1390;-1;-1;-1;-1;Suo-Chikuzen
1014;4186;sea;1390;-1;-1;-1;-1;Bungo-Iyo
4186;1825;sea;1390;-1;-1;-1;-1;Aki-Iyo
2159;666;sea;1370;-1;-1;-1;-1;Jiangmen-Hainan
3231;7857;sea;1926;-1;-1;-1;-1;Haapsalu-Hiiumaa
35;3227;sea;1256;-1;-1;-1;-1;Ösel-Piltene
597;620;sea;1361;-1;-1;-1;-1;Johor-Siak
5048;982;sea;1491;-1;-1;-1;-1;Esgigeoag-Unamakik
5047;983;sea;1491;-1;-1;-1;-1;Segepenegatig-Epekwitk
1050;4658;sea;1379;-1;-1;-1;-1;Deren-Nanghaer
1215;387;sea;1330;-1;-1;-1;-1;Tajura-Mocha
54;3136;sea;1268;-1;-1;-1;-1;Stade-Dithmarschen
1820;1021;sea;1391;-1;-1;-1;-1;1223;Awa-Settsu
4131;4193;sea;1387;-1;-1;-1;-1;Oshima-Mutsu
1032;1852;sea;4225;-1;-1;-1;-1;Kurils-Tokachi
1199;1201;sea;1448;-1;-1;-1;-1;Bagamoyo-Zanzibar
7038;127;sea;1298;-1;-1;-1;-1;Corsica-Sardinia
394;396;sea;1335;-1;-1;-1;-1;Al Hasa-Bahrain
395;396;sea;1335;-1;-1;-1;-1;Qatar-Bahrain
627;631;sea;1354;-1;-1;-1;-1;Blambangan-Bali
654;2699;sea;1397;-1;-1;-1;-1;Samar-Bikol
654;4353;sea;1397;-1;-1;-1;-1;Samar-Leyte
1107;2738;sea;1423;-1;-1;-1;-1;Taranaki-Waitaha
1268;5494;canal;1775;-1;-1;-1;-1;kiel_canal
1548;1515;canal;835;-1;-1;-1;-1;panama_canal
1328;1316;canal;363;-1;-1;-1;-1;suez_canal
2348;318;sea;5493;-1;-1;-1;-1;Chios-Sugla
4700;2296;sea;1319;-1;-1;-1;-1;Lesbos-Biga
3245;2447;sea;1323;-1;-1;-1;-1;Kerch-Mapa
536;2100;sea;1340;-1;-1;-1;-1;Madurai-Vanni
2803;502;sea;1522;-1;-1;-1;-1;Orinoco Delta-Trinidad
631;2693;sea;1355;-1;-1;-1;-1;Bali-Lombok
2693;632;sea;1355;-1;-1;-1;-1;Lombok-Sumbawa
2700;4351;sea;1397;-1;-1;-1;-1;Cebu-Panay
4353;4355;sea;1402;-1;-1;-1;-1;Leyte-Caraga
646;647;sea;1401;-1;-1;-1;-1;Ambom-Ceram
2678;622;sea;1361;-1;-1;-1;-1;Banka-Palembang
748;2890;sea;1529;-1;-1;-1;-1;Belem-Marajo
2954;353;sea;1305;-1;-1;-1;-1;Djerba-Tataouine
431;2999;sea;1334;-1;-1;-1;-1;Mogostan-Hormuz
2999;5249;sea;1334;-1;-1;-1;-1;Hormuz-Khasab
4351;4352;sea;1397;-1;-1;-1;-1;Buglas-Cebu
7194;7195;sea;1322;-1;-1;-1;-1;Kinburn-Ochakiv
35;7857;sea;1926;-1;-1;-1;-1;Hiiumaa-Ösel
3231;35;sea;1256;-1;-1;-1;-1;Haapsalu-Ösel
4363;4364;sea;1283;-1;-1;-1;-1;Argyll-Inner Hebrides
8155;4364;sea;1283;-1;-1;-1;-1;Locahber-Inner Hebrides
3137;4364;sea;1283;-1;-1;-1;-1;Ross-Inner Hebrides
747;2890;sea;1529;-1;-1;-1;-1;Amapa-Marajo
782;2869;sea;1539;-1;-1;-1;-1;Tierra Del Fuego-Florida Blanca
782;783;sea;1539;-1;-1;-1;-1;Tierra Del Fuego-Kawesqar
778;2851;sea;1536;-1;-1;-1;-1;Rio de la Plata-Colonia
4993;4995;sea;5462;-1;-1;-1;-1;Naujaat-Shugliaq
4974;5019;sea;1495;-1;-1;-1;-1;Grand Bank-Saint Pierre
1240;5817;sea;1697;-1;-1;-1;-1;Hawaii-Maui
5817;5029;sea;1697;-1;-1;-1;-1;Maui-Oahu
5029;5818;sea;1697;-1;-1;-1;-1;Oahu-Kauai
1001;5039;sea;1661;-1;-1;-1;-1;Soto-Manidoowaaling
911;1001;sea;1663;-1;-1;-1;-1;Menominee-Sault
911;5039;sea;1661;-1;-1;-1;-1;Belem-Manidoowaaling
4973;5039;sea;1661;-1;-1;-1;-1;Waanabidebiing-Manidoowaaling
2576;2578;sea;1490;-1;-1;-1;-1;Mingan-Anticosti
985;983;sea;1491;-1;-1;-1;-1;Mikmaq-Epekwitk
2559;5060;sea;1903;-1;-1;-1;-1;Adirondack-Mamhlawbagak
366;5096;sea;1471;-1;-1;-1;-1;The Canarias-Tenerife
1775;1983;sea;5494;-1;-1;-1;-1;Holstein-Lolland
3;3121;sea;1255;-1;-1;-1;-1;Smaland-Kalmar
227;3108;sea;1292;-1;-1;-1;-1;Lisboa-Setubal
7193;7200;sea;1322;-1;-1;-1;-1;Ichki-KyzylYar
4700;5131;sea;1319;-1;-1;-1;-1;Lesbos-Ayvalik
741;502;sea;1522;-1;-1;-1;-1;Cumana-Trinidad
741;5579;sea;1520;-1;-1;-1;-1;Cumana-Waikeri
484;4622;sea;1518;-1;-1;-1;-1;Havana-Siwanea
4624;4622;sea;1518;-1;-1;-1;-1;Guanahatabey-Siwanea
2022;5865;sea;1559;-1;-1;-1;-1;Haida-Taan
5865;5866;sea;1559;-1;-1;-1;-1;Taan-Ketchikan
2219;5255;sea;1334;-1;-1;-1;-1;Bandar Langeh-Kish
333;4560;sea;1295;-1;-1;-1;-1;The Baleares-Ibiza
333;4559;sea;1300;-1;-1;-1;-1;The Baleares-Menorca
5747;5781;sea;1558;-1;-1;-1;-1;Lummi-Chimakum
2610;5780;sea;1558;-1;-1;-1;-1;Heiltsuk-Sathloot
974;5780;sea;1558;-1;-1;-1;-1;Kwakiutl-Sathloot
974;5733;sea;1558;-1;-1;-1;-1;Kwakiutl-Kwakiutlii
976;5728;sea;1559;-1;-1;-1;-1;Tlingit-Taan
2613;5863;sea;1561;-1;-1;-1;-1;Sitka-Shgagei
2613;5864;sea;1561;-1;-1;-1;-1;Sitka-Xootsnoowu
5727;5864;sea;1561;-1;-1;-1;-1;Taku-Xootsnoowu
874;5807;sea;1558;-1;-1;-1;-1;Salish-Suquamish
5747;5807;sea;1558;-1;-1;-1;-1;Lummi-Suquamish
5731;5732;sea;1559;-1;-1;-1;-1;Heiltsuk-Wuikinuxv
2609;5866;sea;1559;-1;-1;-1;-1;Tsmsyan-Kichxaan
2021;5030;sea;1556;-1;-1;-1;-1;Miwok-Ohlone
5030;5814;sea;1556;-1;-1;-1;-1;Ohlone-Ohloneii
4698;7125;sea;1312;-1;-1;-1;-1;Cephalonia-Lefkada
4698;7126;sea;1312;-1;-1;-1;-1;Cephalonia-Zakynthos
3178;7112;sea;1312;-1;-1;-1;-1;Patras-Naupaktos
142;7140;sea;1311;-1;-1;-1;-1;Corfu-Butrint
142;7132;sea;1311;-1;-1;-1;-1;Corfu-Thesprotia
2348;4309;sea;5493;-1;-1;-1;-1;Chios-Aydin
2296;4779;sea;1319;-1;-1;-1;-1;Biga-Gallipoli
7110;7113;sea;1319;-1;-1;-1;-1;Oreoi-ZetounionBodonitsa
7110;7117;sea;1319;-1;-1;-1;-1;Oreoi-Demetrias
164;7109;sea;5493;-1;-1;-1;-1;Naxos-Chalcis
4565;5096;sea;1471;-1;-1;-1;-1;Tenerife-GranCanaria
47;4745;sea;1257;-1;-1;-1;-1;Stralsund-Rugen
2994;7816;sea;1257;-1;-1;-1;-1;Wolgast-Usedom
7816;7818;sea;1257;-1;-1;-1;-1;Usedom-Kammin
40;7833;sea;1927;-1;-1;-1;-1;Memel-Sambia
5642;7851;sea;1260;-1;-1;-1;-1;Gdov-Ugandi
7730;7731;sea;1309;-1;-1;-1;-1;Makarska-Brac
136;7731;sea;1309;-1;-1;-1;-1;Spalato-Brac
137;7731;sea;1309;-1;-1;-1;-1;Ragusa-Brac
7734;7735;sea;1308;-1;-1;-1;-1;Senj-Krk
130;7735;sea;1308;-1;-1;-1;-1;Istria-Krk
54;4141;sea;1268;-1;-1;-1;-1;Stade-Dithmarschen
5729;5866;sea;1559;-1;-1;-1;-1;Nisga'a-Kichxaan
5728;5866;sea;1559;-1;-1;-1;-1;Taan-Kichxaan
976;5864;sea;1559;-1;-1;-1;-1;Tlingit-Taan
8633;8635;sea;1400;-1;-1;-1;-1;Moro- Jailolo
8630;8722;sea;1356;-1;-1;-1;-1;Bima- Manggarai
2692;8708;sea;1355;-1;-1;-1;-1;Madura- Gresik
624;8695;sea;1360;-1;-1;-1;-1;Banten- Lampung
2716;8705;sea;1357;-1;-1;-1;-1;Buton- Poleang
4352;8713;sea;1397;-1;-1;-1;-1;Cebu- Leyte
4354;8720;sea;1398;-1;-1;-1;-1;Zamboanga-Taguima
2703;8721;sea;1398;-1;-1;-1;-1;Lehad Datu-Taguima
2686;8649;sea;1361;-1;-1;-1;-1;Bintan-Singapura
597;8649;sea;1361;-1;-1;-1;-1;Johor-Singapura
4351;8714;sea;1397;-1;-1;-1;-1;Buglas-Subanen
4352;4353;sea;1397;-1;-1;-1;-1;Cebu-Leyte
2699;8716;sea;1397;-1;-1;-1;-1;Bikol-Masbate
656;4350;sea;1395;-1;-1;-1;-1;Manila-Mindoro
2700;4350;sea;1397;-1;-1;-1;-1;Panay-Mindoro
2700;8716;sea;1397;-1;-1;-1;-1;Panay-Masbate
650;8544;sea;1400;-1;-1;-1;-1;Tidore-Weda
95;8112;sea;1269;-1;-1;-1;-1;Breda-Rotterdam
100;7954;sea;1279;-1;-1;-1;-1;Frisia-West Frisia
8164;3009;sea;1285;-1;-1;-1;-1;Wexford-Waterford
242;8138;sea;1284;-1;-1;-1;-1;Carnarvonshire-Anglesey
235;238;sea;1269;-1;-1;-1;-1;Kent-Essex
248;8150;sea;1280;-1;-1;-1;-1;Lothian-Fife
502;5581;sea;1522;-1;-1;-1;-1;Trinidad-Tobago
5582;500;sea;1522;-1;-1;-1;-1;Grenada-St Vincent
500;499;sea;1522;-1;-1;-1;-1;St Vincent-St Lucia
499;498;sea;1522;-1;-1;-1;-1;St Lucia-Martinique
498;497;sea;1523;-1;-1;-1;-1;Martinique-Dominica
497;496;sea;1523;-1;-1;-1;-1;Dominica-Guadelope
496;5583;sea;1523;-1;-1;-1;-1;Guadelope-Monserrat
5583;494;sea;1523;-1;-1;-1;-1;Monserrat-St Kitts
5583;495;sea;1523;-1;-1;-1;-1;Monserrat-Antigua & Barbuda
494;5586;sea;1523;-1;-1;-1;-1;St Kitts-St Martin
5586;5585;sea;1523;-1;-1;-1;-1;St Martin-St Barthelemy
5585;1881;sea;1523;-1;-1;-1;-1;St Barthelemy-Anguilla
1881;5586;sea;1523;-1;-1;-1;-1;Anguilla-St Martin
5584;493;sea;1526;-1;-1;-1;-1;St Croix-St Thomas
493;492;sea;1526;-1;-1;-1;-1;St Thomas-Puerto Rico
492;5584;sea;1526;-1;-1;-1;-1;Puerto Rico-St Croix
5576;5575;sea;1503;-1;-1;-1;-1;Acklins-Long Island
5575;5574;sea;1503;-1;-1;-1;-1;Long Island-Eleuthera
5574;482;sea;1503;-1;-1;-1;-1;Eleuthera-Bahama
5577;483;sea;1524;-1;-1;-1;-1;Inagua-Turks & Caicos
5577;5576;sea;1524;-1;-1;-1;-1;Inagua-Acklins
5578;2808;sea;1519;-1;-1;-1;-1;Aruba-Coro
491;2808;sea;1519;-1;-1;-1;-1;Curacao-Coro
2807;830;sea;1519;-1;-1;-1;-1;Altagracia-Maracaibo
-1;-1;;-1;-1;-1;-1;-1;-1;
