#Most moved to brythonic

#Breizh
4384 = "Roazhon"
170 = "Leon"
171 = "Gwened"
172 = "Naoned"
169 = "Sant-Brieg"
3068 = "Kernev"

#Cymru
241 = "Morgannoug"
242 = "Gwenez"
4366 = "Powis"
3034 = "Bric'haeniog"
4369 = "Devet"
3036 = "Keredigion"

#Kernow
233 = "Kernev-Veur"
4373 = "Devnent"			#Capital Karesk, think that may be modern, though. Welsh Dyfnaint might be preferable anyhow

#French Beyond Typus defaults for Breton.

#BT200 Overhaul Vanilla renaming
865 = "Cochimi" # Cochimi										#Generic name
866 = "La Paz" # Guaycura										#Iberian name
867 = "Cahuilla" # Íviluqaletem									#Iberian name
868 = "Santa Barbara" # Chumash								#Iberian name
869 = "Monterey" # Salinan										#Iberian name
870 = "Stockton" # Yatchicumne								#Anglophone name
871 = "Mendocino" # Pomo										#Iberian name used by Anglophone
872 = "Willamette" # Kalapuya									#Generic name
873 = "Columbie" # Multnomah								#Francophone name BeyondTypusInvention
874 = "Seattle" # DkhwDuwAbsh								#Generic name problem anachronistic is Duwamish better less recognisable
972 = "Nootka" # Mowichat										#Generic name
973 = "Fort Vancouver" # Skwxwuhmesh					#Anglophone name
974 = "Bella Bella" # Kwakiutl									#Christian name used by Francophone
975 = "Bella Coola	" # Nuxalk									#Christian name used by Francophone
976 = "Tlingit" # Lingit												#Generic name
977 = "Yakutat" # Yaakwdaat									#Generic name
978 = "La Mouillage" # Tanaina								#Francophone name BeyondTypusInvention
980 = "Baye Sainte-Claire" # Fogo							#Francophone name
981 = "Stephenville" # Taqamkuk								#Francophone name
996 = "Blanc Sablon" # Pakua Shipu							#Francophone name
997 = "Baie Rouge" # NunatuKavut							#Francophone name
998 = "Grande Baleine" # Innuksuak							#Francophone name
999 = "Fort George" # Cisasipi									#Anglophone name
1000 = "Eastmain" # Wapanutaw								#Francophone name
1003 = "Fort Albany" # Keeshechewan					#Anglophone name
1004 = "Fort St. Louis" # Mosoni								#Francophone name
1005 = "Fort Bourbon" # Mushkegowuk					#Francophone name
1006 = "Churchill" # Missinipi									#Anglophone name
1008 = "Fort Rouge" # Winipek								#Francophone name
1009 = "Bas de la Rivière" # Wanipigow					#Francophone name
1010 = "Manitou" # Manidoobaa								#Francophone name
