# No previous file for Nisga'a

owner = TSM			#Tsimshian
controller = TSM
add_core = TSM
is_city = yes
culture = tsimshianic
religion = totemism
capital = "Kitkatla"
trade_goods = fish
hre = no
base_tax = 1 
base_production = 1
base_manpower = 1
native_size = 10
native_ferocity = 1
native_hostileness = 3

discovered_by = north_american
#discovered_by = bt_athabaskan_tech
#discovered_by = bt_northwest_tech


1774.1.1 = { discovered_by = SPA } # Juan Pérez
1778.1.1 = { discovered_by = GBR } # James Cook
1799.1.1 = { discovered_by = RUS } # Calling it Alexander Andreyevich Baranov, because I couldn't really figure out who or when for SE Alaska was first. Definitely by 1803, in any case
1834.1.1 = {
 	discovered_by = GBR
	owner = GBR
	controller = GBR
	capital = "Fort Simpson"
	is_city = yes
	culture = english
	religion = protestant 
	trade_goods = fish 
} #Fort Alexandria
#Russia only settled south of Sitka later on
