#BT Italy reoverhaul

owner = AQU
controller = AQU
add_core = AQU
culture = ladin_culture
religion = catholic
capital = "Cadore"
base_tax = 3
base_production = 4
base_manpower = 2
trade_goods = grain
is_city = yes
hre = yes

discovered_by = western
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern


#Province history completed by - 

#1400.1.1 = { } # Venice vassalises Friuli around this time.
1433.1.1 = {
	hre = no
	owner = VEN
	controller = VEN
	add_core = VEN
} # Treaty between Doge Francesco Foscari and Emperor Sigismund of the HRE
